Quantity,Discount,Profit,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Order_Month,Order_Quarter,Days to Ship,Sales
0.0,1.0,0.0,0.014705882352941175,0.22063037249283668,0.6438848920863309,0.0,0.9999999999999999,0.5252990700743871,0.28571428571428575,0.6506376729761718,0.0,0.0,0.7142857142857142,48.896
0.0,1.0,0.0,0.8529411764705882,1.0,0.9999999999999998,0.0,0.9999999999999999,0.9086181061280522,0.0,0.7169592932474945,0.0,0.0,0.5714285714285714,474.43
0.0,1.0,0.0,0.051470588235294115,0.4699140401146132,0.4136690647482013,0.0,0.9999999999999999,0.6098533345119623,0.8571428571428571,0.5824956352757773,0.0,0.0,0.5714285714285714,141.42
0.0,1.0,0.0,0.051470588235294115,0.4699140401146132,0.4136690647482013,0.0,0.5358361774744027,0.5252990700743871,0.42857142857142855,0.6383988478421767,0.0,0.0,0.5714285714285714,310.744
0.0,0.37359098228663445,0.0,0.1323529411764706,0.12034383954154727,0.0,0.0,0.9999999999999999,0.0,0.0,0.6550678132879447,0.0,0.0,0.7142857142857142,51.94
0.0,1.0,0.0,1.0,0.49283667621776506,0.6438848920863309,0.0,0.1296928327645051,0.5252990700743871,0.5714285714285715,0.5178365435209658,0.0,0.0,0.7142857142857142,1018.104
0.0,0.37359098228663445,0.0,0.5588235294117647,0.2521489971346705,0.9999999999999998,0.0,0.9999999999999999,0.5252990700743871,0.0,0.6596132751050152,0.0,0.0,1.0,79.92
0.5,1.0,0.0,0.0,0.2521489971346705,0.9999999999999998,0.0,0.9999999999999999,0.6098533345119623,0.0,0.6503409183306036,0.0,0.0,0.42857142857142855,24.85
1.0,1.0,0.0,0.029411764705882353,0.040114613180515755,0.6438848920863309,0.0,0.9999999999999999,0.26264953503719357,0.0,0.648733477047021,0.0,0.0,0.42857142857142855,9.94
0.0,0.0,0.0,0.286764705882353,0.22063037249283668,0.6438848920863309,0.0,0.9999999999999999,1.0,0.28571428571428575,0.6507696180277699,0.0,0.0,0.5714285714285714,54.992
0.5,0.0,0.0,0.014705882352941175,0.005730659025787966,0.6438848920863309,0.0,0.9999999999999999,0.26264953503719357,0.0,0.6531655648872308,0.0,0.0,0.7142857142857142,37.68
0.5,1.0,0.0,0.007352941176470588,0.011461318051575931,0.0,0.0,0.5358361774744027,0.6789391989029928,0.0,0.6780399545196465,0.0,0.0,0.42857142857142855,545.94
0.0,1.0,0.0,0.5882352941176471,1.0,0.9999999999999998,0.0,0.0,0.4162896638657993,0.21428571428571427,0.649028388496033,0.0,0.0,0.7142857142857142,333.999
0.0,1.0,0.0,0.8529411764705882,1.0,0.9999999999999998,0.0,0.9999999999999999,0.5252990700743871,0.0,0.6608855676109884,0.0,0.0,0.5714285714285714,77.6
0.0,1.0,0.0,0.8529411764705882,1.0,0.9999999999999998,0.0,0.9999999999999999,0.8325793277315986,0.0,0.6799942993060468,0.0,0.0,0.5714285714285714,464.85
0.5,0.37359098228663445,0.0,0.1323529411764706,0.022922636103151862,0.4136690647482013,0.0,0.0,0.4162896638657993,0.0,0.6661755417276398,0.0,0.0,0.7142857142857142,212.94
1.0,0.37359098228663445,0.0,0.5808823529411765,0.2664756446991404,0.6438848920863309,0.0,0.0,0.5252990700743871,0.7142857142857143,0.6291305600111063,0.0,0.0,0.14285714285714285,61.96
0.0,1.0,0.0,0.058823529411764705,0.1002865329512894,0.0,0.0,0.9999999999999999,0.7879486051115806,0.28571428571428575,0.6586436841618014,0.0,0.0,0.8571428571428571,315.776
0.0,0.0,0.0,0.11029411764705882,0.051575931232091685,0.4136690647482013,0.0,0.9999999999999999,0.26264953503719357,0.0,0.65062904820738,0.0,0.0,0.8571428571428571,18.96
,1.0,0.0,0.058823529411764705,0.03151862464183381,0.6438848920863309,0.0,0.1296928327645051,0.0,0.42857142857142855,0.6422426429852772,0.0,0.0,0.0,181.797
